fighter_name,status,age,height,weight,division,total_status,win_by_knockout,win_by_submission,title_defence,striking_accuracy,sig_Strikes_landed,sig_Strikes_attempted,takeDown_accuracy,takeDown_landed,takeDown_attempted,sig_str_landed_per_min,sig_str_absorbed_per_min,takeDown_avg_per_15_min,submission_avg_per_15_min,sig_str_defence,takeDown_defence,knockdown_avg,avg_fight_fime,sig_str_by_position_standing,sig_str_by_position_clinch,sig_str_by_position_ground,win_by_method_KO_TKO,win_by_method_DEC,win_by_method_SUB,sig_str_by_target_head,sig_str_by_target_head_percent,sig_str_by_target_body,sig_str_by_target_body_percent,sig_str_by_target_leg,sig_str_by_target_leg_percent,fight_history
Brendson Ribeiro,Active,28,75.00,205.00,Light Heavyweight Division,16-7-0 (W-L-D),9,6,11,42,112,266,50,,6,3.16,3.92,1.27,0.42,"55
                  %",N/A,0.42,08:52,104 (93%),3 (3%),5 (4%),9 (56%),1 (6%),6 (38%),73,65%,20,18%,19,17%,"[['Machado', 'Nov. 2, 2024', '3', '5:00', 'Decision - Split'], ['Gadzhiyasulov', 'Jun. 22, 2024', '3', '5:00', 'Decision - Majority'], ['Mingyang', 'Feb. 17, 2024', '1', '1:41', 'KO/TKO']]",Machado,"Nov. 2, 2024",3,5:00,Decision - Split
Brendson Ribeiro,Active,28,75.00,205.00,Light Heavyweight Division,16-7-0 (W-L-D),9,6,11,42,112,266,50,,6,3.16,3.92,1.27,0.42,"55
                  %",N/A,0.42,08:52,104 (93%),3 (3%),5 (4%),9 (56%),1 (6%),6 (38%),73,65%,20,18%,19,17%,"[['Machado', 'Nov. 2, 2024', '3', '5:00', 'Decision - Split'], ['Gadzhiyasulov', 'Jun. 22, 2024', '3', '5:00', 'Decision - Majority'], ['Mingyang', 'Feb. 17, 2024', '1', '1:41', 'KO/TKO']]",Gadzhiyasulov,"Jun. 22, 2024",3,5:00,Decision - Majority
Brendson Ribeiro,Active,28,75.00,205.00,Light Heavyweight Division,16-7-0 (W-L-D),9,6,11,42,112,266,50,,6,3.16,3.92,1.27,0.42,"55
                  %",N/A,0.42,08:52,104 (93%),3 (3%),5 (4%),9 (56%),1 (6%),6 (38%),73,65%,20,18%,19,17%,"[['Machado', 'Nov. 2, 2024', '3', '5:00', 'Decision - Split'], ['Gadzhiyasulov', 'Jun. 22, 2024', '3', '5:00', 'Decision - Majority'], ['Mingyang', 'Feb. 17, 2024', '1', '1:41', 'KO/TKO']]",Mingyang,"Feb. 17, 2024",1,1:41,KO/TKO
Stephanie Luciano,Active,24,66.00,115.00,Women's Strawweight Division,6-1-1 (W-L-D),2,N/A,N/A,49,159,327,100,,1,5.30,2.53,0.50,0.00,"68
                  %","85
                      %",0.50,15:00,131 (82%),17 (11%),11 (7%),2 (40%),3 (60%),0 (0%),116,73%,29,18%,14,9%,"[['Bruna Luciano', 'Aug. 10, 2024', '3', '5:00', 'Decision - Unanimous']]",Bruna Luciano,"Aug. 10, 2024",3,5:00,Decision - Unanimous
Hyder Amil,Active,34,69.00,160.00,Featherweight Division,10-0-0 (W-L-D),6,1,N/A,57,147,257,33,1,3,6.31,2.23,0.64,1.93,"62
                  %","78
                      %",0.64,07:46,112 (76%),11 (7%),24 (16%),6 (60%),3 (30%),1 (10%),108,73%,28,19%,11,7%,"[['Lee', 'Jul. 20, 2024', '1', '1:05', 'KO/TKO'], ['Garcia', 'Feb. 10, 2024', '2', '2:12', 'KO/TKO']]",Lee,"Jul. 20, 2024",1,1:05,KO/TKO
Hyder Amil,Active,34,69.00,160.00,Featherweight Division,10-0-0 (W-L-D),6,1,N/A,57,147,257,33,1,3,6.31,2.23,0.64,1.93,"62
                  %","78
                      %",0.64,07:46,112 (76%),11 (7%),24 (16%),6 (60%),3 (30%),1 (10%),108,73%,28,19%,11,7%,"[['Lee', 'Jul. 20, 2024', '1', '1:05', 'KO/TKO'], ['Garcia', 'Feb. 10, 2024', '2', '2:12', 'KO/TKO']]",Garcia,"Feb. 10, 2024",2,2:12,KO/TKO
Mike Davis,Active,MMA,32,72.00,Lightweight Division,11-3-0 (W-L-D),7,2,4,N/A,N/A,N/A,N/A,N/A,N/A,00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 (0 %),0 (0 %),0 (0 %),7 (64%),2 (18%),2 (18%),0,0%,0,0%,0,0%,"[['Ziam', 'Feb. 1, 2025', '3', '5:00', 'Decision - Unanimous'], ['Levy', 'Mar. 16, 2024', '2', '1:43', 'Submission'], ['Davis', 'Oct. 1, 2022', '3', '5:00', 'Decision - Unanimous']]",Ziam,"Feb. 1, 2025",3,5:00,Decision - Unanimous
Mike Davis,Active,MMA,32,72.00,Lightweight Division,11-3-0 (W-L-D),7,2,4,N/A,N/A,N/A,N/A,N/A,N/A,00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 (0 %),0 (0 %),0 (0 %),7 (64%),2 (18%),2 (18%),0,0%,0,0%,0,0%,"[['Ziam', 'Feb. 1, 2025', '3', '5:00', 'Decision - Unanimous'], ['Levy', 'Mar. 16, 2024', '2', '1:43', 'Submission'], ['Davis', 'Oct. 1, 2022', '3', '5:00', 'Decision - Unanimous']]",Levy,"Mar. 16, 2024",2,1:43,Submission
Mike Davis,Active,MMA,32,72.00,Lightweight Division,11-3-0 (W-L-D),7,2,4,N/A,N/A,N/A,N/A,N/A,N/A,00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 (0 %),0 (0 %),0 (0 %),7 (64%),2 (18%),2 (18%),0,0%,0,0%,0,0%,"[['Ziam', 'Feb. 1, 2025', '3', '5:00', 'Decision - Unanimous'], ['Levy', 'Mar. 16, 2024', '2', '1:43', 'Submission'], ['Davis', 'Oct. 1, 2022', '3', '5:00', 'Decision - Unanimous']]",Davis,"Oct. 1, 2022",3,5:00,Decision - Unanimous
Oban Elliott,Active,MMA,27,72.00,Welterweight Division,12-2-0 (W-L-D),3,3,4,49,237,482,50,3,16,4.26,2.25,2.16,0.00,"63
                  %","73
                      %",0.27,13:55,165 (70%),10 (4%),62 (26%),3 (25%),6 (50%),3 (25%),162,68%,37,16%,38,16%,"[['Hafez', 'Nov. 16, 2024', '3', '0:40', 'KO/TKO'], ['Elliott', 'Jul. 27, 2024', '3', '5:00', 'Decision - Unanimous'], ['Elliott', 'Feb. 17, 2024', '3', '5:00', 'Decision - Unanimous']]",Hafez,"Nov. 16, 2024",3,0:40,KO/TKO
Oban Elliott,Active,MMA,27,72.00,Welterweight Division,12-2-0 (W-L-D),3,3,4,49,237,482,50,3,16,4.26,2.25,2.16,0.00,"63
                  %","73
                      %",0.27,13:55,165 (70%),10 (4%),62 (26%),3 (25%),6 (50%),3 (25%),162,68%,37,16%,38,16%,"[['Hafez', 'Nov. 16, 2024', '3', '0:40', 'KO/TKO'], ['Elliott', 'Jul. 27, 2024', '3', '5:00', 'Decision - Unanimous'], ['Elliott', 'Feb. 17, 2024', '3', '5:00', 'Decision - Unanimous']]",Elliott,"Jul. 27, 2024",3,5:00,Decision - Unanimous
Oban Elliott,Active,MMA,27,72.00,Welterweight Division,12-2-0 (W-L-D),3,3,4,49,237,482,50,3,16,4.26,2.25,2.16,0.00,"63
                  %","73
                      %",0.27,13:55,165 (70%),10 (4%),62 (26%),3 (25%),6 (50%),3 (25%),162,68%,37,16%,38,16%,"[['Hafez', 'Nov. 16, 2024', '3', '0:40', 'KO/TKO'], ['Elliott', 'Jul. 27, 2024', '3', '5:00', 'Decision - Unanimous'], ['Elliott', 'Feb. 17, 2024', '3', '5:00', 'Decision - Unanimous']]",Elliott,"Feb. 17, 2024",3,5:00,Decision - Unanimous
